title, artist, peakPos, lastPos, weeks, rank, date
Easy On Me,Adele,1,1,8,1,12/11/2021
Stay,The Kid LAROI & Justin Bieber,1,2,21,2,12/11/2021
All I Want For Christmas Is You,Mariah Carey,1,12,47,3,12/11/2021
Rockin' Around The Christmas Tree,Brenda Lee,2,14,41,4,12/11/2021
Jingle Bell Rock,Bobby Helms,3,20,38,5,12/11/2021
Industry Baby,Lil Nas X & Jack Harlow,1,3,19,6,12/11/2021
A Holly Jolly Christmas,Burl Ives,4,27,22,7,12/11/2021
Heat Waves,Glass Animals,7,7,46,8,12/11/2021
Shivers,Ed Sheeran,5,6,12,9,12/11/2021
Need To Know,Doja Cat,8,9,25,10,12/11/2021
It's The Most Wonderful Time Of The Year,Andy Williams,5,30,23,11,12/11/2021
Bad Habits,Ed Sheeran,2,8,23,12,12/11/2021
Cold Heart (PNAU Remix),Elton John & Dua Lipa,11,11,13,13,12/11/2021
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),5,10,4,14,12/11/2021
Last Christmas,Wham!,9,40,21,15,12/11/2021
Feliz Navidad,Jose Feliciano,6,0,16,16,12/11/2021
Christmas (Baby Please Come Home),Darlene Love,17,0,8,17,12/11/2021
The Christmas Song (Merry Christmas To You),Nat King Cole,11,0,28,18,12/11/2021
Sleigh Ride,The Ronettes,13,0,12,19,12/11/2021
It's Beginning To Look A Lot Like Christmas,Michael Buble,20,0,6,20,12/11/2021
All Too Well (Taylor's Version),Taylor Swift,1,4,3,21,12/11/2021
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,8,0,15,22,12/11/2021
Fancy Like,Walker Hayes,3,13,24,23,12/11/2021
abcdefu,GAYLE,24,51,2,24,12/11/2021
White Christmas,Bing Crosby,12,0,21,25,12/11/2021
Good 4 U,Olivia Rodrigo,1,15,29,26,12/11/2021
Underneath The Tree,Kelly Clarkson,12,0,11,27,12/11/2021
Essence,Wizkid Feat. Justin Bieber & Tems,9,16,22,28,12/11/2021
You Right,Doja Cat & The Weeknd,11,19,23,29,12/11/2021
Happy Holiday / The Holiday Season,Andy Williams,18,0,9,30,12/11/2021
Way 2 Sexy,Drake Feat. Future & Young Thug,1,17,13,31,12/11/2021
Beggin',Maneskin,13,22,23,32,12/11/2021
One Right Now,Post Malone & The Weeknd,6,21,4,33,12/11/2021
Kiss Me More,Doja Cat Feat. SZA,3,25,34,34,12/11/2021
Rudolph The Red-Nosed Reindeer,Gene Autry,16,0,13,35,12/11/2021
Santa Tell Me,Ariana Grande,17,0,9,36,12/11/2021
Oh My God,Adele,5,5,2,37,12/11/2021
Save Your Tears,The Weeknd & Ariana Grande,1,31,51,38,12/11/2021
Ghost,Justin Bieber,32,38,10,39,12/11/2021
Run Rudolph Run,Chuck Berry,10,0,10,40,12/11/2021
Knife Talk,Drake Feat. 21 Savage & Project Pat,4,33,13,41,12/11/2021
If I Didn't Love You,Jason Aldean & Carrie Underwood,15,28,19,42,12/11/2021
Thats What I Want,Lil Nas X,10,42,11,43,12/11/2021
Happier Than Ever,Billie Eilish,11,45,18,44,12/11/2021
Better Days,NEIKED X Mae Muller X Polo G,29,34,7,45,12/11/2021
(There's No Place Like) Home For The Holidays,Perry Como,22,0,8,46,12/11/2021
Love Nwantiti (Ah Ah Ah),CKay,31,37,11,47,12/11/2021
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,21,39,12,48,12/11/2021
Thinking 'Bout You,Dustin Lynch Feat. Lauren Alaina Or MacKenzie Porter,30,36,16,49,12/11/2021
Girls Want Girls,Drake Feat. Lil Baby,2,43,13,50,12/11/2021
My Universe,Coldplay x BTS,1,29,10,51,12/11/2021
Cold As You,Luke Combs,32,46,18,52,12/11/2021
Who Want Smoke??,"Nardo Wick Feat. G Herbo, Lil Durk & 21 Savage",17,48,8,53,12/11/2021
Buy Dirt,Jordan Davis Feat. Luke Bryan,30,35,17,54,12/11/2021
Super Gremlin,Kodak Black,55,63,4,55,12/11/2021
Pepas,Farruko,25,47,19,56,12/11/2021
You Should Probably Leave,Chris Stapleton,39,52,22,57,12/11/2021
